Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2025-01-20,45,45.69,45,45.432,0.28,+0.62%,6315,92726
2025-01-17,44.65,45.152,44.65,45.152,0.8,+1.80%,4450,91840
2025-01-16,44.25,44.4,44.25,44.352,-0.446,-1.00%,4449,91338
2025-01-15,45.1,45.445,44.7,44.798,0.075,+0.17%,6427,90664
2025-01-14,45.665,45.665,44.275,44.723,-1.203,-2.62%,7943,90308
2025-01-13,45.045,45.985,44.75,45.926,2.6,+6.00%,10274,91316
2025-01-10,42.88,43.78,42.5,43.326,0.269,+0.62%,8421,91205
2025-01-09,43.075,43.075,42.41,43.057,-0.18,-0.42%,9262,90786
2025-01-08,44.85,44.85,43.237,43.237,-1.46,-3.27%,5569,89936
2025-01-07,44.02,44.83,43.785,44.697,0.317,+0.71%,5614,88971
2025-01-06,45.3,45.3,44.38,44.38,-1.34,-2.93%,7586,89071
2025-01-03,45.745,46.055,45.7,45.72,-0.208,-0.45%,4676,87912
2025-01-02,45.11,46.16,44.95,45.928,1.182,+2.64%,6266,87404
2024-12-31,44.89,44.89,44.746,44.746,1.007,+2.30%,2960,86889
2024-12-30,43.555,43.739,43.555,43.739,-0.287,-0.65%,3136,86966
2024-12-27,44.026,44.026,44.026,44.026,1.48,+3.48%,3640,86671
2024-12-24,42.85,42.85,42.546,42.546,0.308,+0.73%,1612,86166
2024-12-23,41.65,42.238,41.65,42.238,0.896,+2.17%,3950,86046
2024-12-20,40.62,41.342,40.45,41.342,0.512,+1.25%,8150,85304
2024-12-19,39.845,40.83,38.9,40.83,1.47,+3.73%,9199,84321
2024-12-18,39.505,39.505,39.275,39.36,-0.568,-1.42%,4692,83035
2024-12-17,38.35,39.928,38.35,39.928,1.488,+3.87%,10753,82848
2024-12-16,38.1,38.44,37.5,38.44,-0.53,-1.36%,10176,81703
2024-12-13,40.14,40.27,38.72,38.97,-0.857,-2.15%,8248,81805
2024-12-12,40.51,40.51,39.69,39.827,-1.22,-2.97%,12982,80613
2024-12-11,41.18,41.23,40.9,41.047,-0.253,-0.61%,4436,77890
2024-12-10,41.3,41.3,41.3,41.3,0.459,+1.12%,7080,77902
2024-12-09,41.1,41.1,40.841,40.841,-0.767,-1.84%,5940,77239
2024-12-06,41.44,41.608,41.44,41.608,-0.027,-0.06%,7581,77676
2024-12-05,42.1,42.22,41.54,41.635,-0.493,-1.17%,11144,78207
2024-12-04,42.128,42.128,42.128,42.128,-0.639,-1.49%,13465,74200
2024-12-03,43.02,43.02,42.62,42.767,-0.534,-1.23%,6313,73890
2024-12-02,43.4,43.4,43.2,43.301,0.51,+1.19%,8211,73340
2024-11-29,42.61,42.791,42.61,42.791,0.803,+1.91%,6747,74552
2024-11-28,42.1,42.245,41.988,41.988,-0.019,-0.05%,5409,75143
2024-11-27,42.15,42.15,41.65,42.007,-0.211,-0.50%,9952,75169
2024-11-26,42.685,42.87,42,42.218,0.055,+0.13%,13332,75095
2024-11-25,42.2,42.5,42.163,42.163,0.374,+0.89%,7688,75036
2024-11-22,42.8,42.8,41.789,41.789,-0.791,-1.86%,10144,75322
2024-11-21,42.3,42.58,42.2,42.58,1.338,+3.24%,15699,76442
2024-11-20,41.06,41.35,41.06,41.242,0.319,+0.78%,11372,78235
2024-11-19,41.5,41.5,40.923,40.923,-0.778,-1.87%,9202,80138
2024-11-18,41.4,41.701,41.4,41.701,0.436,+1.06%,6499,81628
2024-11-15,41.15,41.76,40.925,41.265,-0.1,-0.24%,14102,81458
2024-11-14,40.95,41.55,40.95,41.365,1.62,+4.08%,9366,80632
2024-11-13,39.74,39.98,39.625,39.745,-0.204,-0.51%,8147,79500
2024-11-12,39.5,40.12,39.5,39.949,0.83,+2.12%,8779,79205
2024-11-11,38.55,39.25,38.22,39.119,0.421,+1.09%,15038,79766
2024-11-08,39.165,39.185,38.65,38.698,-0.265,-0.68%,15584,80004
2024-11-07,38.995,39.1,38.5,38.963,0.51,+1.33%,13173,80609
2024-11-06,38.3,38.453,37.45,38.453,-0.092,-0.24%,7487,80095
2024-11-05,38.9,38.9,38.53,38.545,0.063,+0.16%,7623,79502
2024-11-04,38.482,38.482,38.482,38.482,0.489,+1.29%,4811,78544
2024-11-01,37.993,37.993,37.993,37.993,-1.362,-3.46%,10667,78337
2024-10-31,39.01,39.355,39,39.355,-0.125,-0.32%,11638,78376
2024-10-30,40.15,40.15,39.48,39.48,-1.233,-3.03%,9913,77161
2024-10-29,40.5,40.713,40.5,40.713,-0.44,-1.07%,23360,75567
2024-10-28,40.8,41.153,40.75,41.153,-0.745,-1.78%,5899,73950
2024-10-25,41.5,42.11,41.5,41.898,0.726,+1.76%,7182,74620
2024-10-24,41.172,41.172,41.172,41.172,0.557,+1.37%,7961,74620
2024-10-23,40.37,40.615,40.37,40.615,0.471,+1.17%,4924,74785
2024-10-22,40.144,40.144,40.144,40.144,0.483,+1.22%,3473,73919
2024-10-21,39.55,39.661,39.4,39.661,0.626,+1.60%,1788,73976
2024-10-18,39.035,39.035,39.035,39.035,-0.36,-0.91%,3867,73822
2024-10-17,39.55,39.55,39.395,39.395,0.048,+0.12%,2575,73123
2024-10-16,39.64,39.64,39.347,39.347,-0.542,-1.36%,2615,72380
2024-10-15,39.889,39.889,39.889,39.889,-0.462,-1.14%,4073,72281
2024-10-14,40.351,40.351,40.351,40.351,0.51,+1.28%,2634,72091
2024-10-11,39.841,39.841,39.841,39.841,-0.233,-0.58%,3573,71932
2024-10-10,40.074,40.074,40.074,40.074,1.38,+3.57%,5082,71548
2024-10-09,39.38,39.38,38.55,38.694,-0.57,-1.45%,5807,70463
2024-10-08,39.8,39.8,39.264,39.264,-0.951,-2.36%,5004,70602
2024-10-07,40.4,40.4,40.215,40.215,-0.207,-0.51%,5887,70268
2024-10-04,40,40.422,39.95,40.422,0.66,+1.66%,5827,69743
2024-10-03,38.7,39.762,38.7,39.762,0.668,+1.71%,5957,69587
2024-10-02,39.4,39.4,39.094,39.094,-0.11,-0.28%,4702,68814
2024-10-01,38.3,39.204,38.3,39.204,0.212,+0.54%,5957,68183
2024-09-30,38.85,39,38.85,38.992,0.39,+1.01%,2875,68033
2024-09-27,38.602,38.602,38.602,38.602,0.266,+0.69%,3476,67738
2024-09-26,37.5,38.336,37.5,38.336,0.148,+0.39%,7241,67942
2024-09-25,37.89,38.188,37.89,38.188,0.996,+2.68%,4747,66537
2024-09-24,37.55,37.55,37.192,37.192,-0.465,-1.23%,3638,65876
2024-09-23,37.65,37.657,37.65,37.657,0.841,+2.28%,4734,66080
2024-09-20,36.515,37.43,36.515,36.816,0.965,+2.69%,6393,66105
2024-09-19,38.7,38.7,35.69,35.851,-2.183,-5.74%,17627,65670
2024-09-18,38,38.034,37.6,38.034,-0.03,-0.08%,3623,67510
2024-09-17,37.5,38.064,37.5,38.064,1.306,+3.55%,4995,66924
2024-09-16,36.9,36.9,36.758,36.758,-1.248,-3.28%,4695,67349
2024-09-13,38.006,38.006,38.006,38.006,0.303,+0.80%,3466,68007
2024-09-12,37.85,37.95,37.703,37.703,-0.922,-2.39%,6061,67826
2024-09-11,38.1,38.625,38.1,38.625,0.296,+0.77%,5533,67192
2024-09-10,39.4,39.4,38.329,38.329,-1.334,-3.36%,5848,66870
2024-09-09,39.663,39.663,39.663,39.663,0.298,+0.76%,2969,67152
2024-09-06,39.99,40,39.365,39.365,0.018,+0.05%,3028,67285
2024-09-05,39.1,39.347,39.1,39.347,0.232,+0.59%,3682,66798
2024-09-04,39.95,39.95,39.115,39.115,-1.049,-2.61%,5414,66629
2024-09-03,40.6,40.6,40.164,40.164,-0.901,-2.19%,3108,67584
2024-09-02,41.065,41.065,41.065,41.065,-0.539,-1.30%,1775,67189
2024-08-30,41.8,41.8,41.604,41.604,0.212,+0.51%,3160,66924
2024-08-29,41.392,41.392,41.392,41.392,-0.094,-0.23%,2941,66574
2024-08-28,41.95,41.95,41.486,41.486,-0.377,-0.90%,4067,66054
2024-08-27,41.863,41.863,41.863,41.863,0.201,+0.48%,2887,65770
2024-08-26,41.662,41.662,41.662,41.662,0.61,+1.49%,1065,64933
2024-08-23,40.65,41.052,40.65,41.052,0.433,+1.07%,2827,64743
2024-08-22,40.619,40.619,40.619,40.619,-0.151,-0.37%,4475,64152
2024-08-21,41.2,41.2,40.75,40.77,-0.656,-1.58%,3769,63286
2024-08-20,41.426,41.426,41.426,41.426,-1.577,-3.67%,3264,62857
2024-08-19,43.003,43.003,43.003,43.003,-0.295,-0.68%,2201,62617
2024-08-16,43.298,43.298,43.298,43.298,0.213,+0.49%,2618,62366
2024-08-15,43.05,43.085,43.05,43.085,0.45,+1.06%,2276,61688
2024-08-14,42.635,42.635,42.635,42.635,0.193,+0.45%,3758,61257
2024-08-13,42.442,42.442,42.442,42.442,0.172,+0.41%,3949,60995
2024-08-12,42.27,42.27,42.27,42.27,-0.431,-1.01%,5048,60846
2024-08-09,42.701,42.701,42.701,42.701,0.305,+0.72%,3199,60248
2024-08-08,42.396,42.396,42.396,42.396,1.096,+2.65%,5289,59717
2024-08-07,40.9,41.3,40.9,41.3,1.204,+3.00%,4866,59821
2024-08-06,40.4,40.4,40.096,40.096,0.401,+1.01%,4803,59398
2024-08-05,39.5,39.695,39.5,39.695,-1.005,-2.47%,5601,59222
2024-08-02,40.8,40.8,40.69,40.7,-0.319,-0.78%,3961,58084
2024-08-01,40.5,41.075,40.5,41.019,0.69,+1.71%,5396,57248
2024-07-31,40.329,40.329,40.329,40.329,0.6,+1.51%,3685,56117
2024-07-30,39.729,39.729,39.729,39.729,0.163,+0.41%,4631,55537
2024-07-29,39.566,39.566,39.566,39.566,0.884,+2.29%,3322,54524
2024-07-26,38.83,38.83,38.682,38.682,0.363,+0.95%,3846,53723
2024-07-25,38.319,38.319,38.319,38.319,-0.3,-0.78%,2336,53046
2024-07-24,38.619,38.619,38.619,38.619,0.792,+2.09%,4165,52136
2024-07-23,37.827,37.827,37.827,37.827,0.002,+0.01%,2487,51400
2024-07-22,37.825,37.825,37.825,37.825,-0.215,-0.57%,1270,51244
2024-07-19,38.04,38.04,38.04,38.04,-0.369,-0.96%,1545,50949
